app - INFO - Microblog startup
werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:02] "[32mGET /auth/logout HTTP/1.1[0m" 302 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:02] "[32mGET /index HTTP/1.1[0m" 302 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:02] "GET /auth/login?next=%2Findex HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:09] "[32mPOST /auth/login?next=%2Findex HTTP/1.1[0m" 302 -
root - INFO - Last read time: 2022-07-15 09:33:09.665678
root - INFO - []
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:09] "GET /index HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:12] "[32mGET /auth/logout HTTP/1.1[0m" 302 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:12] "[32mGET /index HTTP/1.1[0m" 302 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:12] "GET /auth/login?next=%2Findex HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:22] "[32mPOST /auth/login?next=%2Findex HTTP/1.1[0m" 302 -
root - INFO - Last read time: 2022-07-15 09:33:22.328574
root - INFO - []
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:22] "GET /index HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:33:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:34:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:35:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:36:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:36:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:36:22] "GET /notifications?since=0 HTTP/1.1" 200 -
